;index;cutoutname;objname;ra;dec;VIS;Y;H;J;grade;new;rawscore;notes
0;63;TILE102021499_-631323422479949628;EUCLJ041231.76-475941.87;63.13234225032457;-47.994962855931306;21.824207;20.939148;20.114952;20.5461;AA;N;115.36649322509766;Previously found in L25,W25
1;11;TILE102019594_-620978815501656388;EUCLJ040823.49-500956.30;62.09788156139889;-50.16563882716289;21.193136;20.568832;19.71151;20.201382;AA;N;65.73151397705078;Previously found in L25,W25
2;44;TILE102021009_-577024787484062221;EUCLJ035048.59-482422.40;57.70247875982041;-48.40622214909423;20.400482;19.958666;19.098923;19.545721;AA;N;56.83290863037109;Previously found in L25,W25
3;349;TILE102019128_-603918055505947098;EUCLJ040134.03-503540.96;60.39180553737698;-50.59470984038585;23.025059;21.791168;20.766518;21.202038;A;Y;54.51194763183594;
4;127;TILE102044821_-509449559274572380;EUCLJ032346.79-272726.06;50.94495595239306;-27.4572380334476;20.683628;20.165634;19.350018;19.694807;AA;N;52.3180046081543;Previously found in L25,W25
5;180;TILE102158892_2703681011657269406;EUCLJ180128.34+654336.99;270.368101176438;65.7269406739178;20.348837;20.054413;19.249361;19.642656;AA;N;45.060916900634766;Previously found in L25,W25
6;336;TILE102045469_-539958751269128519;EUCLJ033559.01-265446.27;53.99587510971941;-26.91285190141817;21.637724;20.784508;19.861727;20.306242;B;Y;37.84994125366211;
7;158;TILE102158275_2709777393645726835;EUCLJ180354.66+643421.66;270.977739341077;64.57268354179256;20.097902;19.796497;19.08015;19.421768;AA;N;36.31039047241211;Previously found in L25,W25
8;282;TILE102018669_-604379956508375131;EUCLJ040145.12-505015.05;60.43799561251069;-50.83751312182088;21.420494;20.681446;19.946991;20.277946;A;Y;36.27274703979492;Ranked poorly by L25 ML
9;115;TILE102042918_-544805259289548872;EUCLJ033755.33-285717.59;54.480525954294606;-28.954887264503345;19.193293;19.069077;18.344807;18.697535;BA;N;34.91094970703125;Previously found in L25,W25
